,r68,r55,r36,r14,r16,r45,r47,r46,r2,r54,r48,r99,r23,r10,r13,r100,r60,r35,r63,r84,r25,r67,r7,r70,r1,r88,r17,r27,r41,r39,r90,r72,r92,r66,r30,r95,r91,r73,r5,r33,r24,r12,r80,r4,r51,r77,r76,r49,r11,r19,r28,r57,r78,r65,r42,r83,r79,r44,r86,r21,r9,r18,r53,r69,r97,r37,r40,r3,r75,r85,r52,r93,r81,r58,r62,r38,r29,r15,r6,r32,r50,r64,r20,r89,r31,r61,r74,r43,r8,r71,r94,r26,r56,r96,r98,r87,r34,r82,r59,r22
d90,65,10,80,95,53,31,87,72,89,46,85,41,98,28,40,47,79,84,57,93,50,18,96,14,82,76,32,25,92,49,51,63,68,71,17,61,37,70,29,6,23,22,1,8,74,66,35,62,97,7,20,73,15,67,91,38,83,0,48,55,81,52,60,11,39,12,2,78,13,36,27,44,19,42,54,16,3,26,21,9,4,69,88,90,94,86,45,58,64,75,43,24,77,34,5,99,56,33,59,30
d46,75,61,68,20,25,47,14,76,88,60,96,70,34,78,2,26,51,38,39,7,19,80,59,11,44,86,81,65,0,40,98,91,55,94,13,1,92,67,17,41,73,9,54,28,4,32,49,84,74,18,6,35,27,99,56,22,64,52,83,21,97,15,85,23,79,90,77,31,87,43,53,10,30,57,16,3,95,89,8,33,37,36,46,72,42,5,45,29,50,82,63,24,12,48,66,62,69,58,93,71
d57,66,65,12,48,9,32,72,16,81,60,78,5,67,44,34,47,95,92,83,94,3,53,6,45,85,57,49,14,51,1,35,41,2,58,19,13,88,77,61,75,76,68,26,40,42,79,25,7,99,73,93,96,86,46,63,56,59,28,38,43,4,27,29,21,69,90,33,23,17,18,62,97,82,8,74,70,30,52,54,15,84,87,91,80,36,31,37,0,64,71,22,24,20,10,89,11,50,55,39,98
d4,29,78,75,0,25,60,70,48,34,57,91,76,10,83,49,38,80,1,79,51,26,36,45,69,89,96,40,31,66,5,71,50,17,43,90,54,13,63,18,62,65,44,9,92,8,72,32,2,46,97,14,21,53,11,28,12,86,82,3,42,55,35,61,27,68,41,15,95,98,33,93,20,59,99,6,4,24,47,81,30,23,84,67,16,37,7,39,87,74,94,64,88,56,73,58,22,52,19,85,77
d9,1,73,36,47,77,59,94,69,27,97,37,82,17,12,86,10,18,24,42,91,92,32,56,53,99,83,87,80,54,7,57,62,65,14,31,58,29,38,39,43,16,19,98,88,44,25,15,33,66,40,22,13,8,26,75,85,51,30,67,55,28,96,11,48,34,70,63,79,84,64,78,9,46,60,93,68,50,21,2,81,4,20,74,6,89,76,90,72,95,41,35,5,71,49,23,45,0,52,3,61
d54,71,28,99,86,4,66,57,18,10,42,77,75,44,30,36,56,93,48,90,54,45,0,98,2,68,34,20,58,65,24,85,78,22,17,97,89,23,76,25,67,31,96,12,3,27,52,49,62,88,82,11,87,91,79,14,73,16,33,37,19,8,80,40,5,43,69,63,1,21,13,59,94,53,26,61,51,95,84,64,55,72,92,46,60,47,83,41,74,32,38,35,15,70,7,6,39,81,50,29,9
d68,96,99,79,72,24,1,89,8,57,62,78,33,90,69,94,32,27,54,11,42,49,59,37,21,67,91,31,81,88,29,45,65,71,44,87,35,39,16,86,12,92,84,52,55,28,93,64,4,26,77,66,0,58,19,38,70,74,83,14,7,48,25,41,61,22,36,85,23,20,9,60,5,68,97,53,30,17,73,34,80,56,98,82,10,40,47,18,13,95,63,15,75,76,43,51,3,6,2,50,46
d2,78,61,73,9,99,66,88,93,22,95,53,10,17,25,0,13,74,26,48,91,52,23,47,11,51,6,5,4,1,42,12,58,29,81,57,49,84,20,72,31,64,14,18,96,2,38,85,15,86,28,32,59,69,62,76,75,90,79,56,41,44,16,83,89,71,68,92,45,7,21,8,19,98,35,24,39,40,34,3,60,80,67,33,55,97,30,70,77,87,37,65,27,50,36,43,54,94,63,46,82
d11,2,90,52,70,55,0,33,65,48,12,94,35,75,21,82,31,10,59,50,46,34,57,51,63,20,8,61,49,4,99,43,69,83,47,64,18,85,79,17,91,67,60,97,26,7,86,14,3,41,32,76,23,16,56,36,92,81,58,78,28,22,93,71,62,6,42,54,15,98,5,89,44,96,87,39,68,29,19,24,9,53,13,88,40,73,74,72,66,37,30,1,27,84,25,38,95,77,11,80,45
d72,9,21,74,76,55,87,81,13,61,12,92,19,40,29,47,25,64,27,51,96,4,63,34,28,70,77,53,93,95,11,58,68,62,38,69,5,72,67,82,80,49,37,6,18,85,42,7,59,97,41,1,83,31,50,10,3,32,56,71,20,23,16,0,44,33,46,45,15,66,94,22,30,75,84,36,8,14,54,48,88,89,79,43,35,99,60,65,98,78,2,52,26,73,86,90,17,39,57,91,24
