,r8,r13,r14,r6,r3,r5,r19,r9,r17,r4,r20,r18,r2,r12,r1,r7,r16,r15,r10,r11
d1,16,3,10,6,15,11,12,1,8,17,13,2,14,18,7,9,5,4,19,0
d12,16,9,18,7,17,11,10,12,8,13,4,15,6,3,1,0,19,14,5,2
d2,8,16,9,18,10,15,1,11,3,0,7,2,17,13,19,14,5,6,4,12
d9,8,4,18,3,0,19,2,15,17,14,13,6,5,9,7,11,10,1,16,12
d17,2,6,0,9,4,18,12,5,15,7,10,13,3,16,17,14,19,1,8,11
d16,4,18,11,6,12,3,8,16,19,0,14,2,15,1,9,13,5,7,10,17
d14,16,18,2,6,17,0,12,19,9,5,15,13,8,7,4,10,1,11,3,14
d6,12,1,19,8,13,10,11,14,6,18,16,5,2,9,7,0,4,15,3,17
d11,8,5,6,12,11,17,1,14,9,13,19,2,18,15,0,3,4,10,7,16
d18,12,19,4,6,10,17,2,11,15,16,14,9,5,18,0,3,7,13,1,8
d8,3,9,16,14,5,13,10,1,17,19,4,11,8,6,15,0,7,2,12,18
d19,11,9,16,15,17,12,8,13,5,1,0,3,18,10,7,4,19,6,14,2
d5,18,6,11,10,5,1,12,16,2,4,0,9,14,8,7,3,17,13,15,19
d3,0,3,18,7,12,14,1,19,2,9,4,8,15,13,17,11,5,16,6,10
d15,3,0,17,7,1,10,15,2,13,16,12,9,18,6,8,5,14,4,19,11
d13,11,6,12,10,14,4,15,1,9,0,3,5,2,19,17,7,8,13,16,18
d10,16,10,11,18,6,17,0,13,1,19,3,8,2,4,7,5,14,12,15,9
d20,4,12,15,5,7,2,11,10,19,6,18,9,13,0,3,14,1,17,16,8
d7,14,8,11,16,9,3,6,1,18,13,15,10,5,7,12,19,0,4,2,17
d4,9,16,1,6,15,18,7,3,0,13,4,8,10,17,2,11,12,19,5,14
