,d59,d7,d5,d77,d14,d80,d85,d23,d18,d75,d52,d56,d15,d4,d95,d32,d26,d22,d41,d43,d55,d67,d57,d10,d27,d48,d99,d72,d37,d87,d19,d46,d9,d53,d97,d51,d73,d64,d44,d3,d30,d49,d12,d33,d54,d21,d61,d8,d11,d68,d42,d2,d31,d92,d16,d71,d6,d70,d91,d39,d34,d65,d47,d38,d89,d86,d94,d36,d40,d24,d28,d100,d83,d98,d82,d35,d60,d62,d58,d76,d93,d78,d84,d96,d29,d1,d13,d25,d20,d74,d69,d50,d79,d66,d17,d63,d45,d81,d90,d88
r22,15,37,16,74,97,14,89,12,2,47,45,98,52,85,92,73,10,30,22,5,55,48,33,11,46,23,76,72,4,79,29,68,53,75,40,32,88,69,65,84,1,41,43,61,57,60,64,42,34,99,87,44,50,26,28,82,91,94,49,81,27,59,38,9,77,36,51,13,24,7,39,66,18,56,25,0,62,70,67,63,35,20,90,3,86,95,8,17,71,31,19,93,96,6,58,80,78,83,54,21
r36,42,53,93,76,5,80,45,20,26,52,65,92,37,55,95,57,43,68,27,81,9,69,25,75,67,13,24,99,73,64,88,2,50,59,29,51,15,22,70,11,63,41,89,85,77,33,36,34,18,48,60,66,8,79,44,21,4,54,61,3,83,72,31,10,91,58,96,86,47,56,62,46,40,1,84,23,49,16,94,90,82,17,19,78,0,35,6,7,74,39,71,32,98,97,14,28,38,30,12,87
r88,58,44,61,76,29,1,97,8,5,17,14,81,13,91,65,11,37,28,66,33,88,19,21,32,86,39,7,69,90,43,31,25,89,48,26,51,20,79,70,83,35,85,0,53,74,40,77,71,63,46,6,82,59,92,24,99,16,49,72,12,73,18,42,45,50,96,84,9,67,52,93,94,10,68,64,34,36,78,56,47,98,62,95,23,87,27,41,60,15,22,30,55,57,4,54,3,75,80,2,38
r97,42,40,89,57,28,71,55,94,77,69,92,44,98,9,79,6,32,80,12,65,3,11,59,84,30,45,78,70,64,14,25,66,37,35,72,49,21,63,27,17,19,2,7,93,18,58,61,13,8,54,29,31,1,62,85,53,33,95,52,67,51,5,90,38,39,15,26,97,50,76,91,83,10,81,87,22,16,99,88,68,56,86,46,36,41,60,47,73,43,23,82,96,74,34,48,20,4,75,24,0
r83,18,87,82,36,10,11,65,29,92,72,3,97,16,2,51,62,19,32,14,1,70,78,91,24,13,73,77,30,4,26,59,21,7,85,5,50,81,17,93,27,86,80,71,58,8,55,48,60,6,31,46,84,54,75,90,63,68,98,94,33,95,44,99,74,22,61,40,49,67,57,56,9,0,83,23,69,53,42,38,88,25,96,12,28,20,35,39,37,15,34,45,47,52,89,43,66,76,41,64,79
r15,71,93,13,52,92,82,80,85,66,79,62,40,30,83,55,39,20,4,91,74,36,49,0,47,87,12,89,58,28,1,61,99,6,29,70,60,76,44,65,96,22,5,86,31,57,19,67,2,26,14,54,42,77,73,46,24,59,17,11,43,35,38,88,68,27,72,81,84,78,18,50,95,69,10,41,15,7,3,25,94,21,45,8,48,16,75,56,23,98,51,9,63,33,32,64,34,97,90,37,53
r42,53,38,54,0,49,17,72,3,32,77,88,9,65,67,25,6,35,75,36,71,51,97,85,29,28,81,45,37,91,66,23,10,18,48,1,89,64,20,99,69,84,33,98,80,59,13,93,70,19,14,92,11,24,41,4,50,56,2,16,90,15,26,95,79,22,44,40,63,31,73,61,52,87,34,7,82,27,58,42,60,46,43,47,57,76,8,94,30,12,5,78,68,21,62,39,55,74,83,96,86
r96,91,40,77,78,28,58,23,61,20,83,80,35,10,57,85,11,75,38,8,60,96,46,19,68,44,43,88,52,99,0,90,93,59,74,81,94,70,25,33,86,82,98,14,29,97,63,2,37,50,72,69,15,66,48,36,79,9,34,62,51,1,7,49,71,45,32,24,54,26,56,18,55,31,92,16,17,41,4,67,21,95,89,39,30,53,42,3,22,76,6,87,47,84,65,5,64,73,13,27,12
r49,79,19,58,85,33,71,72,91,34,32,67,63,20,31,55,12,5,1,47,11,43,61,21,4,0,50,86,73,70,66,52,90,24,83,49,84,41,93,53,39,59,29,76,51,10,68,96,23,56,22,88,44,2,28,15,62,14,99,48,36,82,7,40,98,74,78,46,37,45,64,38,94,6,97,87,16,9,26,8,17,18,89,69,75,35,25,3,42,80,13,92,27,54,65,77,60,95,57,30,81
r68,11,29,42,53,94,12,73,88,58,27,68,3,24,13,93,15,20,0,50,56,69,87,77,39,74,79,1,72,91,66,83,70,36,30,45,99,38,4,54,21,63,47,67,92,32,6,75,49,31,5,23,84,64,37,98,78,85,18,7,65,90,17,9,76,80,95,60,86,96,26,8,61,52,22,44,59,89,71,43,10,19,62,34,55,46,48,16,40,25,57,51,41,33,2,82,81,14,35,97,28
