,d20,d7,d2,d11,d3,d19,d16,d12,d6,d10,d5,d8,d1,d9,d18,d15,d13,d4,d14,d17
r18,2,19,4,15,13,6,18,11,7,10,1,3,9,5,14,16,12,0,17,8
r2,5,0,19,8,2,15,3,1,6,11,4,14,18,9,7,16,10,12,13,17
r10,1,7,9,11,0,13,14,4,18,8,16,6,15,17,10,5,19,2,3,12
r15,11,17,12,7,16,4,18,10,2,6,8,1,5,0,15,14,19,9,3,13
r5,6,10,3,1,0,4,11,13,16,12,18,5,2,9,8,19,15,17,7,14
r17,12,15,17,3,18,16,7,9,8,10,5,2,1,4,11,13,6,14,0,19
r7,6,11,14,15,10,7,5,12,1,13,16,0,19,8,18,2,17,4,3,9
r13,11,2,12,6,18,7,10,8,13,14,17,16,3,9,0,19,1,4,15,5
r1,12,15,0,9,10,17,3,18,6,8,1,16,13,4,11,5,14,2,19,7
r6,5,2,4,12,15,18,16,3,17,0,7,6,8,14,1,19,10,13,9,11
r3,10,15,4,9,17,11,18,12,5,13,6,7,16,19,2,8,3,0,14,1
r8,2,3,19,8,17,9,13,15,1,14,16,11,6,5,12,0,4,10,18,7
r4,9,4,11,18,3,15,2,17,12,5,16,19,0,13,14,6,10,7,8,1
r11,10,7,11,0,15,3,17,5,16,18,1,12,8,6,13,9,14,2,19,4
r20,7,1,19,14,6,18,15,4,12,2,11,3,9,13,16,5,8,10,17,0
r16,7,11,19,18,16,13,8,1,10,14,9,0,12,6,15,4,2,17,3,5
r19,18,15,3,10,4,13,19,11,5,7,14,2,0,6,9,8,12,16,1,17
r14,9,18,13,12,11,19,10,16,3,7,5,2,6,17,8,0,4,15,1,14
r9,2,16,17,1,10,14,18,5,13,15,19,4,0,6,8,9,12,3,7,11
r12,8,13,11,12,19,0,16,1,4,10,9,5,18,6,14,15,7,3,2,17
